City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Umm Lajj,SA,25.02,37.27,71.82,53,0,5.57,clear sky
306,Gunnedah,AU,-30.98,150.25,78.8,47,6,3.36,clear sky
307,Luderitz,NA,-26.65,15.16,59.0,93,0,16.11,clear sky
308,Singapore,SG,1.29,103.85,80.6,88,75,8.59,broken clouds
309,Madang,PG,-5.22,145.8,77.05,90,96,2.82,overcast clouds
310,Pisco,PE,-13.7,-76.22,71.6,68,0,13.87,clear sky
311,Jalpan,MX,21.23,-99.48,85.14,34,0,2.89,clear sky
312,Klaksvik,FO,62.23,-6.59,42.8,81,100,13.87,overcast clouds
313,Maceio,BR,-9.67,-35.74,77.0,78,20,9.17,few clouds
314,Dzialdowo,PL,53.24,20.17,37.4,93,75,6.93,broken clouds
315,Saint-Francois,FR,46.42,3.91,44.01,87,0,3.36,clear sky
316,Verkhnyaya Toyma,RU,62.23,45.0,16.45,96,83,6.89,broken clouds
317,Bozoum,CF,6.32,16.38,70.95,40,0,2.24,clear sky
318,Manuk Mangkaw,PH,4.8,119.85,83.91,69,100,1.88,overcast clouds
319,Dubinino,RU,55.62,89.09,6.24,92,0,7.27,clear sky
320,Prado,BR,-17.34,-39.22,73.99,86,7,6.38,clear sky
321,Zhanaozen,KZ,43.3,52.8,29.17,94,0,4.27,clear sky
322,Tura,IN,25.52,90.22,61.99,58,75,4.43,broken clouds
323,Winterberg,DE,51.2,8.53,30.99,92,0,2.95,clear sky
324,Bierun,PL,50.09,19.09,36.0,85,100,4.43,overcast clouds
325,Poronaysk,RU,49.22,143.12,16.38,91,25,4.21,scattered clouds
326,Marienburg,PL,54.04,19.03,37.99,79,100,8.99,overcast clouds
327,Russell,US,32.35,-85.2,71.6,68,90,3.36,overcast clouds
328,Pacifica,US,37.61,-122.49,63.0,38,20,5.41,few clouds
329,Honiara,SB,-9.43,159.95,82.4,78,20,2.24,few clouds
330,San Lorenzo,PY,-25.33,-57.53,91.4,49,0,3.36,clear sky
331,Chingirlau,KZ,51.09,54.08,15.4,97,96,2.06,overcast clouds
332,Metro,ID,-5.11,105.31,74.35,88,95,5.03,overcast clouds
333,Mogadishu,SO,2.04,45.34,80.1,81,68,16.82,moderate rain
334,Kavaratti,IN,10.57,72.64,81.25,75,0,10.33,light rain
335,Paragominas,BR,-2.97,-47.48,75.63,93,100,2.39,overcast clouds
336,Labuhan,ID,-6.88,112.21,79.09,78,92,4.74,overcast clouds
337,Falmouth,GB,50.15,-5.07,50.0,93,94,21.92,overcast clouds
338,Bereda,ES,43.27,-7.54,48.0,100,0,4.0,clear sky
339,Bahia Blanca,AR,-38.72,-62.27,93.36,16,0,12.55,clear sky
340,Rudiskes,LT,54.52,24.83,32.0,100,75,6.93,broken clouds
341,Dubbo,AU,-32.25,148.62,84.2,37,25,16.11,scattered clouds
342,Huilong,CN,31.81,121.66,48.99,84,100,15.03,overcast clouds
343,Dongsheng,CN,39.82,109.98,15.28,92,100,4.25,overcast clouds
344,Novobirilyussy,RU,56.95,90.67,8.6,94,0,5.17,clear sky
345,Alhandra,BR,-7.44,-34.91,78.8,78,20,13.87,few clouds
346,Pampa,US,35.54,-100.96,53.6,30,1,16.11,clear sky
347,Terre Haute,US,39.47,-87.41,51.8,71,90,3.36,overcast clouds
348,Storforshei,NO,66.4,14.52,37.99,100,75,2.24,fog
349,Goderich,CA,43.75,-81.72,42.8,81,94,9.17,overcast clouds
350,Zhuanghe,CN,39.7,122.99,21.99,56,0,12.26,clear sky
351,Constitucion,CL,-35.33,-72.42,60.66,66,0,18.5,clear sky
352,Abaza,RU,52.66,90.09,2.34,90,79,0.34,broken clouds
353,Areosa,PT,41.72,-8.86,57.0,93,0,1.12,clear sky
354,Hasaki,JP,35.73,140.83,46.4,100,20,4.7,few clouds
355,Clyde River,CA,70.47,-68.59,-13.0,69,40,16.11,scattered clouds
356,Chimore,BO,-16.98,-65.13,86.16,56,100,2.59,moderate rain
357,Hobyo,SO,5.35,48.53,79.41,75,65,14.65,broken clouds
358,Festus,US,38.22,-90.4,54.0,69,36,6.22,scattered clouds
359,Mangrol,IN,21.12,70.12,71.96,44,0,16.37,clear sky
360,Oktyabrskiy,RU,54.48,53.47,13.37,96,72,3.58,broken clouds
361,Sidney,AU,-33.87,151.21,88.0,65,0,9.17,clear sky
